state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
AL,Governor,38.85691108757344,38.85691108757344,3.4435750397803706,11.85820905459838,38.85691108757344,3.5072
AL,Senate,38.85691108757344,38.85691108757344,3.4435750397803706,11.85820905459838,39.04036160855577,3.7339
AK,Senate,42.34414164928131,47.71888771429242,4.772428733304855,22.776076014473777,45.07001889433448,28.4351
AK,Governor,42.34414164928131,42.34414164928131,3.662409694796975,13.41324477254287,42.34414164928131,15.0632
AZ,Senate,41.38652082164871,53.660661730068846,4.954980491096399,24.551831667145912,52.483784059224796,61.6862
AZ,Governor,41.38652082164871,50.360659463641845,4.43982908787679,19.712082329556846,49.413135176283554,46.9782
AR,Senate,36.5803502611594,41.21621621621621,5.776878355133393,33.37232353000869,39.628095340783915,13.2576
AR,Governor,36.5803502611594,38.40794997480911,4.231058135750982,17.901852948104576,38.115991593794305,5.3191
CA,Governor,62.58687245579007,65.1685393258427,4.191258624509092,17.566648857521844,64.24769105585308,97.9872
CA,Senate,62.58687245579007,62.58687245579008,3.1657890566840363,10.0222203514204,62.770322976772405,98.8001
CO,Senate,54.268120302384304,53.94676060986604,5.042374469657664,25.425540292255405,54.02642680930906,68.5538
CO,Governor,54.268120302384304,53.28980583375272,4.35945922627271,19.00488474553426,53.494901928459186,67.7518
CT,Senate,58.526242019500806,57.4793875147232,4.741031309037173,22.47737787327073,57.91822192348155,82.66
CT,Governor,58.526242019500806,55.810769856484654,4.575510838004007,20.93529942869213,56.72474340508907,79.1769
FL,Senate,48.53526438955828,48.25407134569034,4.571917453644508,20.90242920293928,48.30617176894323,40.6402
FL,Governor,48.53526438955828,46.61599374324587,4.271655987954244,18.24704487942535,46.818637765579695,31.9579
GA,Senate,41.97169174882852,51.37194741039261,4.446355940118068,19.77008114622322,50.491207315581406,52.8909
GA,Governor,41.97169174882852,47.47663196507238,3.852374544515163,14.840789631228407,46.97827483336913,31.0062
HI,Governor,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.17210294990738,99.9947
HI,Senate,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.35555347088972,99.9966
ID,Governor,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390574,34.35676477964845,1.0971
ID,Senate,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390574,34.540215300630784,1.1746
IL,Senate,57.926424852004544,56.0880829015544,2.248960771740339,5.057824552826901,58.048788374436604,95.1606
IL,Governor,57.926424852004544,56.35027227557651,4.890902242301271,23.9209247437476,56.89090335464159,80.6655
IN,Senate,42.42633551137972,48.275862068965516,4.473907311658029,20.015846633307174,46.254843642281536,32.9186
IA,Senate,45.49003365482535,47.57268104957857,4.084799867767405,16.685589959712612,46.9973433176581,33.2172
IA,Governor,45.49003365482535,40.937833254745385,3.610970833017112,13.039110356900297,44.94658004175362,21.4535
KS,Senate,43.25556533851103,39.32584269662921,4.747408602498729,22.537888439078937,40.79296009861763,10.2557
KS,Governor,43.25556533851103,56.3718575958257,4.006498261934666,16.052028322885494,51.957176295747395,62.1357
KY,Senate,38.46817941987608,41.48936170212766,3.2592512044821667,10.622718413918454,38.737369955442546,4.2985
LA,Senate,20.82507169120932,37.03571776594668,5.445155246923033,29.64971566309344,31.43094186718486,1.1534
ME,Governor,47.50684461591846,56.2197597271256,4.56697905970083,20.85729773174588,53.3409352600184,67.5498
MD,Senate,59.60060257679597,43.02325581395348,3.2378098366697503,10.483412538435395,59.27763771942198,95.9647
MD,Governor,59.60060257679597,59.60060257679597,3.614376094545441,13.063714552821557,59.60060257679597,95.138
MA,Governor,63.42754700682979,63.801813291246255,5.698895060893531,32.47740491507668,63.72177060175274,92.7563
MI,Governor,52.09968939110665,55.83751426387033,4.840457494143649,23.43002875261142,55.34899041221563,74.7961
MN,Governor,54.65445805866372,54.96770569158467,4.8081678294816745,23.118477876462517,54.92625196692189,73.0909
MO,Senate,43.48693780265842,43.9560439560448,4.200804667965643,17.646759858401932,43.85614901194969,22.2125
NE,Governor,37.204872788557424,37.204872788557424,4.258347320514128,18.13352190212985,37.204872788557424,2.8033
NV,Senate,50.11676011924624,50.3393099993378,5.272184402738305,27.795928376477057,50.331630797401765,51.5319
NV,Governor,50.11676011924624,50.217608270792354,5.411202101321639,29.281108181347715,50.19725674979162,50.8991
NH,Senate,50.290426774892985,55.775142791992764,4.155604798862967,17.26905124433292,54.054989427146204,70.9918
NH,Governor,50.290426774892985,40.93848001247756,4.630004752225847,21.43694400563392,44.02844620761424,22.3009
NM,Governor,56.00332001977625,54.70031675133038,5.04766859380638,25.478958232899277,54.90472087304131,71.92
NY,Senate,65.32933917622134,62.90087066566817,4.707960031009593,22.16488765358385,63.77999030402542,96.659
NY,Governor,65.32933917622134,57.432592229559766,4.759629384209821,22.654071875033555,58.34451519203324,86.2489
NC,Senate,49.56821954323046,48.956507278393055,4.7728662225307215,22.78025197817468,49.059592911613,45.2763
ND,Senate,26.86014703279988,26.86014703279988,4.537650234611419,20.590269651669068,27.043597553782213,0.074
OH,Senate,45.37027389356207,50.24352429833544,4.759760438874043,22.65531943547042,49.83630070680336,49.1423
OH,Governor,45.37027389356207,42.40191118324936,4.994209509116622,24.942128620950896,42.67351927054247,19.1148
OK,Governor,32.93398111723862,44.4705456817253,5.2584369960187205,27.65115964109838,42.14242531054427,19.2718
OK,Senate,32.93398111723862,36.70584415584416,5.261810063473894,27.68664514407515,35.93840610202479,5.6224
OK2,Senate,32.93398111723862,38.011095911232715,5.109758942167838,26.109636447064183,36.96450938661179,6.7527
OR,Governor,57.60816808687109,50.22666107770415,3.8082770824108927,14.502974336416022,56.943485744246395,84.8849
OR,Senate,57.60816808687109,57.60816808687109,3.1195021825735223,9.73129386708097,57.79161860785342,90.5688
PA,Senate,52.82642047516033,54.22534030374153,4.415410657072212,19.49585127058687,54.12006961719344,69.266
PA,Governor,52.82642047516033,54.917721994194046,4.355481749829058,18.97022127309399,54.72695645387998,71.9454
RI,Governor,63.57894393041108,63.57894393041108,3.659586808841341,13.392575611445546,63.57894393041108,97.6602
SC,Senate,41.54334670940243,40.657953563679264,4.342448935603616,18.856862758324976,41.031732569657116,9.2925
SC,Governor,41.54334670940243,46.35123161761458,4.183798571697736,17.504170488540012,45.57839600228373,25.1102
SD,Senate,36.27385316539532,41.7702142926362,5.887190473571659,34.65901167211289,39.91226770314336,13.4593
SD,Governor,36.27385316539532,36.27385316539532,4.141866928530247,17.155061653652577,36.27385316539532,2.3069
TN,Governor,37.90797873114066,37.90797873114066,3.001457601829326,9.00874773557905,37.90797873114066,1.9368
TX,Governor,45.20246579642519,46.198390912134414,4.8971657691781125,23.982232570809856,46.07322642118706,30.8197
UT,Senate,34.639923473185355,43.188583381716626,5.174710379197221,26.77762750857145,41.46847468196935,16.68
VT,Senate,56.15958883006096,53.51171180311525,3.891092556953157,15.140601286776256,54.482876454504506,74.4619
VT,Governor,56.15958883006096,18.675001291803838,5.083704286954112,25.84404927719561,31.783515011799494,1.1684
WA,Senate,57.70660468078626,55.35512036992103,4.952356500025835,24.525834903348134,55.74142675984916,75.2087
WI,Senate,50.71159592685321,49.70928842159431,3.4452476119204154,11.869731107443323,49.865550031055676,49.1403
WI,Governor,50.71159592685321,51.28025145968596,3.5905837538341574,12.89229169329779,51.20499824973764,57.3466
WY,Governor,28.10805824406115,28.10805824406115,4.284669762877401,18.35839497691589,28.10805824406115,0.0694
